q1_neighbor_count,q2_neighbor_count,min_neighbor_count,max_neighbor_count,mean_neighbor_count,sum_neighbor_count,diff_neighbor_count,shared_neighbor_count
4,11,4,11,7.5,15,7,0
6,7,6,7,6.5,13,1,4
7,22,7,22,14.5,29,15,6
29,41,29,41,35.0,70,12,25
4,1,1,4,2.5,5,3,0
7,8,7,8,7.5,15,1,6
1,4,1,4,2.5,5,3,0
6,5,5,6,5.5,11,1,3
19,12,12,19,15.5,31,7,11
5,5,5,5,5.0,10,0,3
1,10,1,10,5.5,11,9,0
18,16,16,18,17.0,34,2,10
9,11,9,11,10.0,20,2,8
19,1,1,19,10.0,20,18,0
10,10,10,10,10.0,20,0,8
8,1,1,8,4.5,9,7,0
5,7,5,7,6.0,12,2,4
4,5,4,5,4.5,9,1,3
6,1,1,6,3.5,7,5,0
4,4,4,4,4.0,8,0,3
10,10,10,10,10.0,20,0,8
1,8,1,8,4.5,9,7,0
3,16,3,16,9.5,19,13,2
2,28,2,28,15.0,30,26,0
7,7,7,7,7.0,14,0,0
10,10,10,10,10.0,20,0,9
4,6,4,6,5.0,10,2,1
1,6,1,6,3.5,7,5,0
24,11,11,24,17.5,35,13,6
5,4,4,5,4.5,9,1,3
4,1,1,4,2.5,5,3,0
9,6,6,9,7.5,15,3,5
17,17,17,17,17.0,34,0,16
14,15,14,15,14.5,29,1,12
2,5,2,5,3.5,7,3,0
9,1,1,9,5.0,10,8,0
17,22,17,22,19.5,39,5,14
33,33,33,33,33.0,66,0,32
1,7,1,7,4.0,8,6,0
5,6,5,6,5.5,11,1,1
5,4,4,5,4.5,9,1,2
4,4,4,4,4.0,8,0,3
5,1,1,5,3.0,6,4,0
4,1,1,4,2.5,5,3,0
4,11,4,11,7.5,15,7,0
7,10,7,10,8.5,17,3,6
19,15,15,19,17.0,34,4,14
4,5,4,5,4.5,9,1,2
146,34,34,146,90.0,180,112,32
1,4,1,4,2.5,5,3,0
7,9,7,9,8.0,16,2,5
6,7,6,7,6.5,13,1,3
5,1,1,5,3.0,6,4,0
6,6,6,6,6.0,12,0,5
5,6,5,6,5.5,11,1,4
6,4,4,6,5.0,10,2,3
12,13,12,13,12.5,25,1,11
6,7,6,7,6.5,13,1,2
40,47,40,47,43.5,87,7,31
1,6,1,6,3.5,7,5,0
1,4,1,4,2.5,5,3,0
5,1,1,5,3.0,6,4,0
12,18,12,18,15.0,30,6,10
4,7,4,7,5.5,11,3,3
4,4,4,4,4.0,8,0,3
2,6,2,6,4.0,8,4,1
19,18,18,19,18.5,37,1,17
5,20,5,20,12.5,25,15,0
8,8,8,8,8.0,16,0,7
7,1,1,7,4.0,8,6,0
10,13,10,13,11.5,23,3,9
6,9,6,9,7.5,15,3,2
24,27,24,27,25.5,51,3,23
30,23,23,30,26.5,53,7,20
1,19,1,19,10.0,20,18,0
5,7,5,7,6.0,12,2,0
4,1,1,4,2.5,5,3,0
19,1,1,19,10.0,20,18,0
1,38,1,38,19.5,39,37,0
14,2,2,14,8.0,16,12,0
24,21,21,24,22.5,45,3,20
7,1,1,7,4.0,8,6,0
52,22,22,52,37.0,74,30,14
4,4,4,4,4.0,8,0,2
4,2,2,4,3.0,6,2,1
25,19,19,25,22.0,44,6,16
7,1,1,7,4.0,8,6,0
36,20,20,36,28.0,56,16,14
8,12,8,12,10.0,20,4,3
19,15,15,19,17.0,34,4,11
5,6,5,6,5.5,11,1,4
1,4,1,4,2.5,5,3,0
7,5,5,7,6.0,12,2,4
1,7,1,7,4.0,8,6,0
1,4,1,4,2.5,5,3,0
12,24,12,24,18.0,36,12,11
16,12,12,16,14.0,28,4,11
8,19,8,19,13.5,27,11,6
29,32,29,32,30.5,61,3,24
8,1,1,8,4.5,9,7,0
12,13,12,13,12.5,25,1,11
8,1,1,8,4.5,9,7,0
1,5,1,5,3.0,6,4,0
13,19,13,19,16.0,32,6,12
22,5,5,22,13.5,27,17,3
2,6,2,6,4.0,8,4,1
4,3,3,4,3.5,7,1,2
4,2,2,4,3.0,6,2,1
1,16,1,16,8.5,17,15,0
1,6,1,6,3.5,7,5,0
4,4,4,4,4.0,8,0,2
2,7,2,7,4.5,9,5,0
5,4,4,5,4.5,9,1,3
6,1,1,6,3.5,7,5,0
4,7,4,7,5.5,11,3,0
1,6,1,6,3.5,7,5,0
34,25,25,34,29.5,59,9,19
49,17,17,49,33.0,66,32,13
10,11,10,11,10.5,21,1,3
1,18,1,18,9.5,19,17,0
4,9,4,9,6.5,13,5,3
1,5,1,5,3.0,6,4,0
25,20,20,25,22.5,45,5,18
14,24,14,24,19.0,38,10,9
12,9,9,12,10.5,21,3,8
6,7,6,7,6.5,13,1,4
7,8,7,8,7.5,15,1,6
32,41,32,41,36.5,73,9,16
5,4,4,5,4.5,9,1,2
1,18,1,18,9.5,19,17,0
24,21,21,24,22.5,45,3,20
21,12,12,21,16.5,33,9,9
7,1,1,7,4.0,8,6,0
24,14,14,24,19.0,38,10,12
6,1,1,6,3.5,7,5,0
16,2,2,16,9.0,18,14,0
15,17,15,17,16.0,32,2,8
4,4,4,4,4.0,8,0,3
6,7,6,7,6.5,13,1,5
9,9,9,9,9.0,18,0,7
7,6,6,7,6.5,13,1,5
16,8,8,16,12.0,24,8,7
2,9,2,9,5.5,11,7,0
13,13,13,13,13.0,26,0,12
5,3,3,5,4.0,8,2,2
7,5,5,7,6.0,12,2,4
51,41,41,51,46.0,92,10,24
5,5,5,5,5.0,10,0,4
17,17,17,17,17.0,34,0,14
1,40,1,40,20.5,41,39,0
20,22,20,22,21.0,42,2,17
9,13,9,13,11.0,22,4,6
10,8,8,10,9.0,18,2,6
4,4,4,4,4.0,8,0,3
14,13,13,14,13.5,27,1,12
26,20,20,26,23.0,46,6,2
19,21,19,21,20.0,40,2,16
7,9,7,9,8.0,16,2,5
23,23,23,23,23.0,46,0,14
9,10,9,10,9.5,19,1,8
7,2,2,7,4.5,9,5,1
20,25,20,25,22.5,45,5,14
4,4,4,4,4.0,8,0,0
1,26,1,26,13.5,27,25,0
12,3,3,12,7.5,15,9,1
5,1,1,5,3.0,6,4,0
12,20,12,20,16.0,32,8,10
4,4,4,4,4.0,8,0,3
11,11,11,11,11.0,22,0,10
15,8,8,15,11.5,23,7,6
6,8,6,8,7.0,14,2,5
9,4,4,9,6.5,13,5,3
1,7,1,7,4.0,8,6,0
15,12,12,15,13.5,27,3,11
4,4,4,4,4.0,8,0,3
4,1,1,4,2.5,5,3,0
18,18,18,18,18.0,36,0,17
7,5,5,7,6.0,12,2,4
1,7,1,7,4.0,8,6,0
10,12,10,12,11.0,22,2,9
11,1,1,11,6.0,12,10,0
1,77,1,77,39.0,78,76,0
14,14,14,14,14.0,28,0,12
7,7,7,7,7.0,14,0,6
8,7,7,8,7.5,15,1,5
1,5,1,5,3.0,6,4,0
20,16,16,20,18.0,36,4,13
25,16,16,25,20.5,41,9,13
12,10,10,12,11.0,22,2,7
1,49,1,49,25.0,50,48,0
1,4,1,4,2.5,5,3,0
5,9,5,9,7.0,14,4,2
44,47,44,47,45.5,91,3,39
1,4,1,4,2.5,5,3,0
4,1,1,4,2.5,5,3,0
2,5,2,5,3.5,7,3,1
9,14,9,14,11.5,23,5,3
6,1,1,6,3.5,7,5,0
15,11,11,15,13.0,26,4,8
1,27,1,27,14.0,28,26,0
1,4,1,4,2.5,5,3,0
1,5,1,5,3.0,6,4,0
31,29,29,31,30.0,60,2,22
5,5,5,5,5.0,10,0,4
15,7,7,15,11.0,22,8,6
14,17,14,17,15.5,31,3,12
1,10,1,10,5.5,11,9,0
5,1,1,5,3.0,6,4,0
7,5,5,7,6.0,12,2,4
5,4,4,5,4.5,9,1,0
7,8,7,8,7.5,15,1,6
4,1,1,4,2.5,5,3,0
8,7,7,8,7.5,15,1,5
7,10,7,10,8.5,17,3,5
6,1,1,6,3.5,7,5,0
1,4,1,4,2.5,5,3,0
5,1,1,5,3.0,6,4,0
20,5,5,20,12.5,25,15,4
29,31,29,31,30.0,60,2,25
4,1,1,4,2.5,5,3,0
7,4,4,7,5.5,11,3,2
11,7,7,11,9.0,18,4,6
1,19,1,19,10.0,20,18,0
6,18,6,18,12.0,24,12,4
5,1,1,5,3.0,6,4,0
4,1,1,4,2.5,5,3,0
5,4,4,5,4.5,9,1,2
6,11,6,11,8.5,17,5,5
8,8,8,8,8.0,16,0,7
6,1,1,6,3.5,7,5,0
5,5,5,5,5.0,10,0,4
27,34,27,34,30.5,61,7,25
7,4,4,7,5.5,11,3,3
1,5,1,5,3.0,6,4,0
33,23,23,33,28.0,56,10,19
1,13,1,13,7.0,14,12,0
1,6,1,6,3.5,7,5,0
6,1,1,6,3.5,7,5,0
4,1,1,4,2.5,5,3,0
6,1,1,6,3.5,7,5,0
4,2,2,4,3.0,6,2,1
1,4,1,4,2.5,5,3,0
32,31,31,32,31.5,63,1,29
4,1,1,4,2.5,5,3,0
7,7,7,7,7.0,14,0,6
21,24,21,24,22.5,45,3,20
9,9,9,9,9.0,18,0,8
16,8,8,16,12.0,24,8,3
4,1,1,4,2.5,5,3,0
30,10,10,30,20.0,40,20,4
5,1,1,5,3.0,6,4,0
6,16,6,16,11.0,22,10,4
4,5,4,5,4.5,9,1,3
1,4,1,4,2.5,5,3,0
1,4,1,4,2.5,5,3,0
6,6,6,6,6.0,12,0,4
16,12,12,16,14.0,28,4,11
5,4,4,5,4.5,9,1,0
1,5,1,5,3.0,6,4,0
23,33,23,33,28.0,56,10,22
1,5,1,5,3.0,6,4,0
11,11,11,11,11.0,22,0,10
1,19,1,19,10.0,20,18,0
1,18,1,18,9.5,19,17,0
5,1,1,5,3.0,6,4,0
12,15,12,15,13.5,27,3,11
5,7,5,7,6.0,12,2,2
5,9,5,9,7.0,14,4,4
10,13,10,13,11.5,23,3,7
1,6,1,6,3.5,7,5,0
8,9,8,9,8.5,17,1,7
15,13,13,15,14.0,28,2,11
7,1,1,7,4.0,8,6,0
12,10,10,12,11.0,22,2,9
13,33,13,33,23.0,46,20,11
12,3,3,12,7.5,15,9,2
15,14,14,15,14.5,29,1,12
36,27,27,36,31.5,63,9,23
14,20,14,20,17.0,34,6,11
4,4,4,4,4.0,8,0,3
1,6,1,6,3.5,7,5,0
2,7,2,7,4.5,9,5,1
2,8,2,8,5.0,10,6,1
30,31,30,31,30.5,61,1,27
5,3,3,5,4.0,8,2,2
7,5,5,7,6.0,12,2,4
4,5,4,5,4.5,9,1,3
4,3,3,4,3.5,7,1,1
5,1,1,5,3.0,6,4,0
1,5,1,5,3.0,6,4,0
2,4,2,4,3.0,6,2,1
1,4,1,4,2.5,5,3,0
5,5,5,5,5.0,10,0,4
4,2,2,4,3.0,6,2,1
8,1,1,8,4.5,9,7,0
4,1,1,4,2.5,5,3,0
5,11,5,11,8.0,16,6,4
25,26,25,26,25.5,51,1,23
14,4,4,14,9.0,18,10,3
15,12,12,15,13.5,27,3,11
12,19,12,19,15.5,31,7,9
1,4,1,4,2.5,5,3,0
9,3,3,9,6.0,12,6,1
23,28,23,28,25.5,51,5,2
1,4,1,4,2.5,5,3,0
38,28,28,38,33.0,66,10,19
1,4,1,4,2.5,5,3,0
1,13,1,13,7.0,14,12,0
6,1,1,6,3.5,7,5,0
12,13,12,13,12.5,25,1,10
36,1,1,36,18.5,37,35,0
8,9,8,9,8.5,17,1,6
15,1,1,15,8.0,16,14,0
12,10,10,12,11.0,22,2,9
11,7,7,11,9.0,18,4,6
8,5,5,8,6.5,13,3,4
2,5,2,5,3.5,7,3,1
4,1,1,4,2.5,5,3,0
36,22,22,36,29.0,58,14,17
4,2,2,4,3.0,6,2,0
1,4,1,4,2.5,5,3,0
11,11,11,11,11.0,22,0,10
6,2,2,6,4.0,8,4,1
3,4,3,4,3.5,7,1,2
2,19,2,19,10.5,21,17,1
7,11,7,11,9.0,18,4,6
41,34,34,41,37.5,75,7,27
4,6,4,6,5.0,10,2,2
6,7,6,7,6.5,13,1,3
25,17,17,25,21.0,42,8,16
9,8,8,9,8.5,17,1,7
5,5,5,5,5.0,10,0,3
12,1,1,12,6.5,13,11,0
8,20,8,20,14.0,28,12,5
6,1,1,6,3.5,7,5,0
1,5,1,5,3.0,6,4,0
1,6,1,6,3.5,7,5,0
5,2,2,5,3.5,7,3,1
12,2,2,12,7.0,14,10,1
12,22,12,22,17.0,34,10,9
26,27,26,27,26.5,53,1,25
6,23,6,23,14.5,29,17,4
22,32,22,32,27.0,54,10,21
20,20,20,20,20.0,40,0,19
25,27,25,27,26.0,52,2,24
6,2,2,6,4.0,8,4,0
3,5,3,5,4.0,8,2,2
4,4,4,4,4.0,8,0,3
7,5,5,7,6.0,12,2,0
4,7,4,7,5.5,11,3,2
13,12,12,13,12.5,25,1,10
15,19,15,19,17.0,34,4,14
9,32,9,32,20.5,41,23,2
6,5,5,6,5.5,11,1,4
7,1,1,7,4.0,8,6,0
11,10,10,11,10.5,21,1,8
15,15,15,15,15.0,30,0,14
6,1,1,6,3.5,7,5,0
6,7,6,7,6.5,13,1,5
4,1,1,4,2.5,5,3,0
9,8,8,9,8.5,17,1,6
6,3,3,6,4.5,9,3,2
11,4,4,11,7.5,15,7,2
2,4,2,4,3.0,6,2,0
15,3,3,15,9.0,18,12,0
8,32,8,32,20.0,40,24,0
19,14,14,19,16.5,33,5,10
10,1,1,10,5.5,11,9,0
10,5,5,10,7.5,15,5,3
1,4,1,4,2.5,5,3,0
2,6,2,6,4.0,8,4,1
27,51,27,51,39.0,78,24,19
5,2,2,5,3.5,7,3,0
6,11,6,11,8.5,17,5,3
4,1,1,4,2.5,5,3,0
6,1,1,6,3.5,7,5,0
5,1,1,5,3.0,6,4,0
4,6,4,6,5.0,10,2,3
38,31,31,38,34.5,69,7,27
1,5,1,5,3.0,6,4,0
19,19,19,19,19.0,38,0,18
4,1,1,4,2.5,5,3,0
4,1,1,4,2.5,5,3,0
10,15,10,15,12.5,25,5,9
1,6,1,6,3.5,7,5,0
4,2,2,4,3.0,6,2,1
1,5,1,5,3.0,6,4,0
9,1,1,9,5.0,10,8,0
13,15,13,15,14.0,28,2,10
5,5,5,5,5.0,10,0,4
9,8,8,9,8.5,17,1,6
19,22,19,22,20.5,41,3,14
6,7,6,7,6.5,13,1,5
5,2,2,5,3.5,7,3,0
1,4,1,4,2.5,5,3,0
5,1,1,5,3.0,6,4,0
11,11,11,11,11.0,22,0,10
3,15,3,15,9.0,18,12,1
11,6,6,11,8.5,17,5,4
12,1,1,12,6.5,13,11,0
88,42,42,88,65.0,130,46,37
1,10,1,10,5.5,11,9,0
13,13,13,13,13.0,26,0,12
40,49,40,49,44.5,89,9,19
9,15,9,15,12.0,24,6,5
7,4,4,7,5.5,11,3,3
7,1,1,7,4.0,8,6,0
4,1,1,4,2.5,5,3,0
5,4,4,5,4.5,9,1,3
22,22,22,22,22.0,44,0,18
9,2,2,9,5.5,11,7,1
6,1,1,6,3.5,7,5,0
8,1,1,8,4.5,9,7,0
13,17,13,17,15.0,30,4,12
44,43,43,44,43.5,87,1,39
1,6,1,6,3.5,7,5,0
4,4,4,4,4.0,8,0,0
4,1,1,4,2.5,5,3,0
7,1,1,7,4.0,8,6,0
22,18,18,22,20.0,40,4,15
16,12,12,16,14.0,28,4,11
3,14,3,14,8.5,17,11,2
11,11,11,11,11.0,22,0,10
2,4,2,4,3.0,6,2,1
11,11,11,11,11.0,22,0,8
2,18,2,18,10.0,20,16,1
8,1,1,8,4.5,9,7,0
4,4,4,4,4.0,8,0,3
9,1,1,9,5.0,10,8,0
4,1,1,4,2.5,5,3,0
19,15,15,19,17.0,34,4,8
9,2,2,9,5.5,11,7,1
5,2,2,5,3.5,7,3,1
19,10,10,19,14.5,29,9,9
10,11,10,11,10.5,21,1,9
7,23,7,23,15.0,30,16,6
6,5,5,6,5.5,11,1,4
14,10,10,14,12.0,24,4,6
4,1,1,4,2.5,5,3,0
45,14,14,45,29.5,59,31,3
22,20,20,22,21.0,42,2,18
18,18,18,18,18.0,36,0,14
4,4,4,4,4.0,8,0,0
1,5,1,5,3.0,6,4,0
4,1,1,4,2.5,5,3,0
6,1,1,6,3.5,7,5,0
1,52,1,52,26.5,53,51,0
1,5,1,5,3.0,6,4,0
3,5,3,5,4.0,8,2,1
13,13,13,13,13.0,26,0,12
9,9,9,9,9.0,18,0,8
1,11,1,11,6.0,12,10,0
29,15,15,29,22.0,44,14,12
2,7,2,7,4.5,9,5,0
20,1,1,20,10.5,21,19,0
14,18,14,18,16.0,32,4,9
1,8,1,8,4.5,9,7,0
13,9,9,13,11.0,22,4,3
7,17,7,17,12.0,24,10,5
6,6,6,6,6.0,12,0,5
8,1,1,8,4.5,9,7,0
6,2,2,6,4.0,8,4,1
1,13,1,13,7.0,14,12,0
2,24,2,24,13.0,26,22,0
1,33,1,33,17.0,34,32,0
4,1,1,4,2.5,5,3,0
32,25,25,32,28.5,57,7,24
1,4,1,4,2.5,5,3,0
5,2,2,5,3.5,7,3,0
22,6,6,22,14.0,28,16,5
28,8,8,28,18.0,36,20,3
5,1,1,5,3.0,6,4,0
13,25,13,25,19.0,38,12,11
15,22,15,22,18.5,37,7,13
50,49,49,50,49.5,99,1,30
1,4,1,4,2.5,5,3,0
11,1,1,11,6.0,12,10,0
6,2,2,6,4.0,8,4,1
3,4,3,4,3.5,7,1,2
4,1,1,4,2.5,5,3,0
2,7,2,7,4.5,9,5,0
4,4,4,4,4.0,8,0,3
7,13,7,13,10.0,20,6,5
49,41,41,49,45.0,90,8,24
5,6,5,6,5.5,11,1,3
8,1,1,8,4.5,9,7,0
4,6,4,6,5.0,10,2,3
6,2,2,6,4.0,8,4,0
6,8,6,8,7.0,14,2,5
2,13,2,13,7.5,15,11,0
29,1,1,29,15.0,30,28,0
4,2,2,4,3.0,6,2,1
1,5,1,5,3.0,6,4,0
8,4,4,8,6.0,12,4,3
6,6,6,6,6.0,12,0,5
9,5,5,9,7.0,14,4,2
2,5,2,5,3.5,7,3,0
4,1,1,4,2.5,5,3,0
7,2,2,7,4.5,9,5,0
16,26,16,26,21.0,42,10,14
11,8,8,11,9.5,19,3,6
38,31,31,38,34.5,69,7,24
1,7,1,7,4.0,8,6,0
21,11,11,21,16.0,32,10,10
8,2,2,8,5.0,10,6,1
1,5,1,5,3.0,6,4,0
4,1,1,4,2.5,5,3,0
30,31,30,31,30.5,61,1,27
12,9,9,12,10.5,21,3,8
5,21,5,21,13.0,26,16,1
1,12,1,12,6.5,13,11,0
1,7,1,7,4.0,8,6,0
2,5,2,5,3.5,7,3,1
2,22,2,22,12.0,24,20,1
5,8,5,8,6.5,13,3,4
7,8,7,8,7.5,15,1,3
15,13,13,15,14.0,28,2,12
1,19,1,19,10.0,20,18,0
9,4,4,9,6.5,13,5,3
1,11,1,11,6.0,12,10,0
11,15,11,15,13.0,26,4,4
6,5,5,6,5.5,11,1,2
22,22,22,22,22.0,44,0,19
13,12,12,13,12.5,25,1,10
8,9,8,9,8.5,17,1,5
8,13,8,13,10.5,21,5,7
18,11,11,18,14.5,29,7,7
31,17,17,31,24.0,48,14,15
1,5,1,5,3.0,6,4,0
5,2,2,5,3.5,7,3,1
5,5,5,5,5.0,10,0,4
4,1,1,4,2.5,5,3,0
23,13,13,23,18.0,36,10,10
6,8,6,8,7.0,14,2,5
34,28,28,34,31.0,62,6,19
4,2,2,4,3.0,6,2,0
1,5,1,5,3.0,6,4,0
12,13,12,13,12.5,25,1,11
4,13,4,13,8.5,17,9,3
6,5,5,6,5.5,11,1,4
12,19,12,19,15.5,31,7,11
1,5,1,5,3.0,6,4,0
4,1,1,4,2.5,5,3,0
6,6,6,6,6.0,12,0,4
1,6,1,6,3.5,7,5,0
1,5,1,5,3.0,6,4,0
15,15,15,15,15.0,30,0,14
16,16,16,16,16.0,32,0,12
12,7,7,12,9.5,19,5,5
5,1,1,5,3.0,6,4,0
1,14,1,14,7.5,15,13,0
16,20,16,20,18.0,36,4,14
30,2,2,30,16.0,32,28,0
1,4,1,4,2.5,5,3,0
7,8,7,8,7.5,15,1,6
8,3,3,8,5.5,11,5,0
1,7,1,7,4.0,8,6,0
45,15,15,45,30.0,60,30,14
2,4,2,4,3.0,6,2,1
7,6,6,7,6.5,13,1,5
22,13,13,22,17.5,35,9,11
3,7,3,7,5.0,10,4,2
1,4,1,4,2.5,5,3,0
4,8,4,8,6.0,12,4,0
4,1,1,4,2.5,5,3,0
1,16,1,16,8.5,17,15,0
1,6,1,6,3.5,7,5,0
1,12,1,12,6.5,13,11,0
4,4,4,4,4.0,8,0,3
4,1,1,4,2.5,5,3,0
27,24,24,27,25.5,51,3,23
21,25,21,25,23.0,46,4,18
8,8,8,8,8.0,16,0,7
6,1,1,6,3.5,7,5,0
5,1,1,5,3.0,6,4,0
24,49,24,49,36.5,73,25,19
7,1,1,7,4.0,8,6,0
11,8,8,11,9.5,19,3,6
6,3,3,6,4.5,9,3,1
5,5,5,5,5.0,10,0,4
8,7,7,8,7.5,15,1,5
