q1_hash,q2_hash,q1_freq,q2_freq
342,15965,26,20
343,20562,19,21
344,11994,7,9
345,8967,23,23
346,16751,9,10
347,34306,7,2
348,514,20,25
349,34307,4,4
350,3846,1,26
351,34308,12,3
352,34309,5,1
353,14989,12,20
354,340,4,4
355,16983,11,11
356,14711,15,8
357,30699,6,8
358,34310,9,4
359,12681,1,7
360,19788,15,12
361,18007,4,4
362,34311,4,1
363,6144,18,18
364,31062,7,5
365,25435,1,7
366,5562,10,12
367,34312,11,1
368,18889,1,77
369,28399,14,14
370,17900,7,7
371,1586,8,7
372,474,1,5
373,17142,20,16
374,9482,25,16
375,21962,12,10
376,124,1,49
377,34313,1,4
378,11025,5,9
379,7361,44,47
380,12323,1,4
381,34314,4,1
382,13296,2,5
383,32640,9,14
384,34315,6,1
385,32336,15,11
386,16266,1,27
387,22587,1,4
388,34316,1,5
389,21795,31,29
390,34317,5,5
391,400,15,7
392,4538,14,17
393,3195,1,10
394,34318,5,1
395,34319,7,5
396,28973,5,4
397,16270,7,8
398,34320,4,1
399,34321,8,7
400,34322,7,10
401,34323,6,1
402,34324,1,4
403,34325,5,1
404,30674,20,5
405,3909,29,31
406,34326,4,1
407,19301,7,4
408,22296,11,7
409,34327,1,19
410,14647,6,18
411,34328,5,1
412,34329,4,1
413,20082,5,4
414,21006,6,11
415,34330,8,8
416,34331,6,1
417,32986,5,5
418,9787,27,34
419,31665,7,4
420,27467,1,5
421,4750,33,23
422,14322,1,13
423,34332,1,6
424,34333,6,1
425,34334,4,1
426,34335,6,1
427,34336,4,2
428,24917,1,4
429,20541,32,31
430,34337,4,1
431,5119,7,7
432,6044,21,24
433,11259,9,9
434,34338,16,8
435,34339,4,1
436,5840,30,10
437,34340,5,1
206,10552,6,16
438,34341,4,5
439,20329,1,4
440,30073,1,4
441,34342,6,6
442,24158,16,12
443,34343,5,4
444,34344,1,5
445,16392,23,33
446,20085,1,5
447,12340,11,11
448,3168,1,19
449,88,1,18
450,34345,5,1
451,11584,12,15
452,13984,5,7
453,3870,5,9
454,15022,10,13
455,21957,1,6
456,34346,8,9
457,34347,15,13
458,34348,7,1
459,9850,12,10
460,2490,13,33
461,34349,12,3
462,11427,15,14
463,3694,36,27
464,5316,14,20
465,34350,4,4
466,5332,1,6
467,6184,2,7
468,33653,2,8
469,1753,30,31
470,34351,5,3
471,17953,7,5
472,26931,4,5
473,1280,4,3
474,34352,5,1
475,9821,1,5
476,34353,2,4
477,10079,1,4
478,34354,5,5
479,34355,4,2
480,34356,8,1
481,34357,4,1
482,8536,5,11
483,8934,25,26
484,34358,14,4
485,24161,15,12
486,34359,12,19
487,22545,1,4
488,29727,9,3
489,5830,23,28
490,34360,1,4
491,11317,38,28
492,34361,1,4
493,7245,1,13
494,34362,6,1
495,11419,12,13
496,34363,36,1
497,15926,8,9
498,34364,15,1
499,3755,12,10
500,27831,11,7
501,20041,8,5
502,34365,2,5
503,34366,4,1
504,9629,36,22
505,34367,4,2
506,32944,1,4
507,5253,11,11
508,26243,6,2
509,12446,3,4
510,4530,2,19
511,19240,7,11
148,3309,41,34
512,22671,4,6
513,9707,6,7
514,6288,25,17
515,34368,9,8
516,14617,5,5
517,34369,12,1
518,348,8,20
519,34370,6,1
520,34371,1,5
521,6161,1,6
522,34372,5,2
523,34373,12,2
524,13049,12,22
525,7599,26,27
526,5697,6,23
527,13559,22,32
528,34374,20,20
529,10416,25,27
530,14654,6,2
531,26765,3,5
532,34375,4,4
533,34376,7,5
534,11751,4,7
535,15961,13,12
536,5314,15,19
537,11845,9,32
538,7367,6,5
539,34377,7,1
540,1573,11,10
541,20206,15,15
542,34378,6,1
543,34379,6,7
544,34380,4,1
545,34381,9,8
546,4589,6,3
547,34382,11,4
548,34383,2,4
549,16283,15,3
550,11845,8,32
551,34161,19,14
552,34384,10,1
553,34385,10,5
554,31319,1,4
555,34386,2,6
556,3945,27,51
557,34387,5,2
558,23585,6,11
559,34388,4,1
560,34389,6,1
561,34390,5,1
562,30269,4,6
563,34391,38,31
564,34392,1,5
565,24460,19,19
566,34393,4,1
567,34394,4,1
568,8603,10,15
569,13612,1,6
570,34395,4,2
571,27942,1,5
572,34396,9,1
573,6136,13,15
574,22294,5,5
575,32817,9,8
576,8961,19,22
577,4730,6,7
578,27930,5,2
579,24050,1,4
580,34397,5,1
581,5497,11,11
582,34398,3,15
408,6732,11,6
583,34399,12,1
584,7203,88,42
585,9115,1,10
586,22826,13,13
587,15325,40,49
588,5271,9,15
589,14894,7,4
590,34400,7,1
591,34401,4,1
592,34402,5,4
593,34403,22,22
594,34404,9,2
595,34405,6,1
596,34406,8,1
597,4942,13,17
598,7470,44,43
599,10828,1,6
600,25588,4,4
601,34407,4,1
602,34408,7,1
603,9598,22,18
284,28691,16,12
604,22495,3,14
605,9180,11,11
606,9288,2,4
607,15985,11,11
608,34409,2,18
609,34410,8,1
610,12318,4,4
611,34411,9,1
612,34412,4,1
551,17746,19,15
613,34413,9,2
614,15371,5,2
615,34414,19,10
616,7562,10,11
617,12333,7,23
618,23183,6,5
619,4661,14,10
620,34415,4,1
621,1157,45,14
622,11571,22,20
623,15261,18,18
624,8683,4,4
625,13939,1,5
626,34416,4,1
627,34417,6,1
628,270,1,52
629,33863,1,5
630,15204,3,5
631,19521,13,13
632,3965,9,9
633,6747,1,11
634,8051,29,15
635,25602,2,7
636,34418,20,1
637,26811,14,18
638,16426,1,8
639,11281,13,9
640,32948,7,17
641,34419,6,6
642,34420,8,1
643,34421,6,2
644,14322,1,13
645,7889,2,24
646,9803,1,33
647,34422,4,1
648,2183,32,25
649,23552,1,4
650,34423,5,2
603,33980,22,6
651,8157,28,8
652,34424,5,1
653,8577,13,25
654,21131,15,22
655,1083,50,49
656,19121,1,4
657,34425,11,1
658,34426,6,2
659,14604,3,4
660,34427,4,1
661,34428,2,7
662,34429,4,4
663,12743,7,13
664,16328,49,41
665,26998,5,6
666,34430,8,1
667,10548,4,6
668,34431,6,2
669,14142,6,8
670,1420,2,13
671,34432,29,1
672,34433,4,2
673,14360,1,5
674,34434,8,4
675,34435,6,6
676,34436,9,5
677,30221,2,5
678,34437,4,1
679,30712,7,2
680,1204,16,26
681,13634,11,8
682,6636,38,31
683,23570,1,7
684,9075,21,11
685,34438,8,2
686,974,1,5
687,34439,4,1
688,20541,30,31
689,8004,12,9
690,7082,5,21
691,7065,1,12
692,34428,1,7
693,34440,2,5
694,2540,2,22
695,2165,5,8
696,7764,7,8
697,10698,15,13
698,8479,1,19
699,34441,9,4
700,22323,1,11
701,18960,11,15
702,34442,6,5
703,5258,22,22
704,34443,13,12
705,11119,8,9
706,11216,8,13
707,149,18,11
708,7093,31,17
709,21893,1,5
710,34444,5,2
711,34445,5,5
712,34446,4,1
713,12737,23,13
714,34447,6,8
715,136,34,28
716,34448,4,2
717,32888,1,5
718,34449,12,13
719,34157,4,13
720,33617,6,5
721,4062,12,19
722,34450,1,5
723,34451,4,1
724,34452,6,6
725,34453,1,6
726,17980,1,5
727,10335,15,15
728,13617,16,16
375,3819,12,7
729,34454,5,1
730,34455,1,14
731,3684,16,20
732,34456,30,2
733,34457,1,4
734,31047,7,8
735,23030,8,3
736,34458,1,7
172,9496,45,15
737,34459,2,4
738,34460,7,6
739,5870,22,13
740,34461,3,7
741,9028,1,4
742,34462,4,8
743,34463,4,1
744,14587,1,16
745,21957,1,6
746,25670,1,12
747,34464,4,4
748,34465,4,1
749,2355,27,24
750,1376,21,25
751,34466,8,8
752,34467,6,1
753,34468,5,1
754,17724,24,49
755,34469,7,1
756,4393,11,8
757,19833,6,3
758,27658,5,5
759,30916,8,7
760,12602,30,17
761,15388,18,22
762,30513,6,8
763,4301,20,22
764,34470,11,6
765,34471,1,6
766,34472,1,4
767,8264,20,20
768,11039,27,27
769,34473,1,4
770,8493,1,18
771,5724,32,32
772,110,19,15
773,34474,7,5
774,22621,1,4
775,18940,5,12
776,4971,5,5
777,3208,13,22
778,30060,7,5
779,8461,1,4
780,20930,6,5
781,9499,2,5
782,7410,1,8
783,34475,1,4
784,34476,4,1
785,34477,12,3
786,23291,1,5
787,34478,2,4
788,321,1,6
789,11373,1,5
790,25395,6,6
791,34479,4,1
792,34480,5,1
200,34481,9,11
793,34482,15,12
212,12946,7,6
794,25290,1,6
795,19944,1,10
796,34483,16,11
797,5533,27,7
708,5864,31,16
798,10267,11,31
305,34391,49,31
799,22501,5,5
800,34484,21,6
801,25463,8,4
802,34485,19,10
803,10612,4,8
804,4165,26,27
805,5510,1,5
806,11223,2,15
807,13350,23,50
808,27789,6,7
809,34486,7,7
810,34487,4,1
811,20013,7,11
812,3576,27,66
813,15432,4,4
814,27792,4,8
815,12795,1,6
816,18152,12,19
817,20093,4,2
818,34488,6,1
819,22733,4,5
820,6388,7,10
821,11699,17,16
822,2286,13,14
823,7033,15,15
824,27155,11,11
825,18027,2,5
826,2674,4,14
827,27381,2,4
828,8737,6,5
829,34489,1,5
830,34490,1,5
831,16162,1,17
832,15215,5,61
833,21460,16,15
834,34491,6,1
835,34492,6,3
836,236,2,146
837,22657,6,6
838,34493,5,11
839,6037,38,53
840,7820,2,7
841,34494,14,1
842,34495,5,1
843,34496,4,5
844,29124,11,11
845,24495,13,13
846,34497,11,12
847,34498,1,4
848,34499,4,1
849,34500,2,5
850,26167,20,15
851,31388,12,11
852,9993,4,26
853,34501,1,5
854,32182,4,6
855,34502,4,4
856,21735,16,12
857,34503,5,1
858,26236,2,4
859,34504,1,4
860,24268,25,24
861,2239,5,8
862,34505,4,5
863,34506,6,1
864,11423,1,20
865,863,1,6
866,34507,4,1
867,10714,5,6
868,7599,26,27
869,34508,56,2
870,7796,1,5
871,34509,4,4
872,25293,7,6
873,21703,8,5
874,6288,13,17
875,34510,3,7
876,34511,13,5
877,34512,5,2
878,19334,8,7
879,23415,9,4
880,34513,4,1
881,28633,1,6
882,33519,12,11
883,34514,7,7
884,23743,13,4
885,1585,1,5
886,7368,11,11
887,619,4,14
888,34515,1,4
889,17847,5,5
797,5406,27,37
890,2617,23,39
891,13744,1,6
892,34516,7,1
893,19027,6,6
894,12649,12,14
895,19413,10,7
896,16944,31,32
897,3003,22,23
898,3452,42,35
899,34517,4,6
900,8549,6,7
901,22249,13,12
902,34518,5,5
903,11957,17,13
904,31490,2,4
905,20270,8,13
906,34519,4,1
528,1335,20,20
907,11569,16,13
908,34520,2,4
909,9787,40,34
910,671,1,29
911,34521,8,1
912,12967,7,15
913,29256,1,5
914,20936,1,6
915,34522,1,4
916,19238,6,9
917,5597,43,5
918,34523,6,1
919,3586,18,17
148,246,41,40
920,33343,10,9
921,8464,6,13
922,2497,1,5
923,29922,1,5
924,17691,1,8
925,24069,17,11
926,11199,1,4
927,13052,4,18
928,34402,3,4
929,34524,1,7
930,2286,17,14
931,34525,4,2
932,21901,16,3
933,9131,6,8
934,3368,15,46
935,26408,7,4
936,34526,11,1
937,15084,22,23
938,20259,2,25
203,34527,8,5
939,34528,1,5
940,34529,4,6
941,34530,2,4
942,34531,1,4
943,34532,6,1
944,34533,1,4
945,34534,8,2
946,24495,11,13
947,16267,25,16
948,27580,8,8
949,34535,8,5
950,34536,4,5
951,34537,6,5
952,34538,10,1
77,19082,16,19
953,1426,36,36
954,34539,4,1
955,12390,6,9
956,34540,7,4
957,14001,16,16
958,34541,4,1
959,850,29,20
960,34542,7,7
961,21160,6,9
962,34543,4,26
963,9980,21,21
964,28643,3,4
965,34544,8,1
966,34545,6,9
967,34546,2,7
968,34547,4,1
969,8823,6,7
970,34548,4,1
971,27062,6,8
972,7032,1,7
76,20052,13,11
973,7321,34,15
974,34549,5,2
975,34550,7,1
976,34551,1,4
977,17311,7,2
978,34552,4,1
979,32802,4,6
980,16124,14,10
981,16109,1,4
982,31968,7,8
983,34553,9,1
984,34554,3,4
985,13000,47,25
986,11889,6,2
245,14667,6,10
987,1358,33,40
988,6670,26,27
426,34555,6,1
989,20861,3,7
990,34556,6,5
991,1411,5,9
992,16985,8,8
993,889,6,5
994,25116,17,9
995,34557,1,5
996,21145,7,4
997,34482,14,12
998,34558,7,7
999,5491,5,5
1000,26287,4,4
494,34559,6,1
1001,34560,10,1
1002,14663,7,9
1003,11530,6,29
1004,11259,15,9
1005,25204,11,4
919,5661,18,16
1006,34561,1,4
1007,20930,1,5
1008,5122,35,32
1009,34562,4,4
1010,34563,7,4
1011,2354,4,2
1012,31047,7,8
1013,25198,9,4
1014,20790,25,20
1015,34564,5,5
1016,34565,2,4
1017,30019,7,7
1018,23988,1,4
1019,3220,34,29
1020,34566,2,4
541,3816,15,14
1021,19286,1,4
1022,16222,9,9
1023,7191,17,24
1024,34567,4,1
1025,34568,5,1
1026,34569,4,1
1027,7793,11,19
1028,29018,1,4
1029,5229,49,28
1030,13049,1,22
1031,34570,9,14
1032,34571,3,4
1033,34572,21,15
1034,34573,4,1
1035,2650,8,22
1036,2793,6,6
1037,5201,15,17
1038,19283,4,2
1039,3700,24,39
1040,26339,7,5
1041,34574,13,12
1042,34575,5,1
1043,489,4,23
1044,4947,34,38
1045,34576,4,2
1046,9744,1,7
1047,14780,13,11
1048,34577,15,1
1049,34578,1,4
1050,34579,13,13
1051,3591,38,20
1052,7325,14,24
1053,21354,5,5
1054,34580,5,1
1055,34581,9,1
1056,7361,12,47
1057,13039,1,4
1058,20138,1,6
1059,34582,5,1
1060,12775,10,18
1061,34583,15,12
1062,21437,4,4
1063,22115,1,9
1064,34584,5,1
1065,9155,18,28
1066,34585,5,1
1067,34586,4,1
1068,34587,10,17
1069,34588,10,1
1070,34589,4,1
1071,32573,1,4
848,34590,4,1
1072,34591,4,4
1073,12969,9,11
1074,11771,8,8
1075,1494,31,38
1076,31210,2,6
1077,22349,10,13
1078,7242,29,21
1038,34592,4,2
1079,6639,31,35
1080,34593,10,2
1081,18297,11,9
1082,34594,5,1
1083,3089,49,30
1084,12357,18,12
1085,34595,4,4
1086,20944,2,9
1087,34596,5,5
1088,34597,1,5
1089,6754,1,4
701,34598,11,10
1090,34599,4,1
1091,13409,7,9
778,1874,7,5
1092,34600,4,5
1093,34601,9,1
1094,24817,6,7
1095,32008,4,2
1096,19697,7,9
1097,22815,1,5
1098,34602,1,6
1099,9274,5,25
1100,34603,5,5
1101,374,20,25
1102,21163,18,19
1103,34604,6,5
1104,34605,11,6
1105,34606,10,11
563,8786,38,40
1106,32436,6,9
1107,34607,6,1
1108,34608,27,1
1109,1806,26,26
1110,34609,16,21
1111,34610,10,1
1112,34611,4,1
1113,34612,4,1
1114,10326,17,10
1115,34613,11,1
1116,29700,1,9
1117,34614,6,8
1118,34615,11,10
1119,6807,8,5
1120,7790,8,11
1121,2175,22,20
1122,6037,40,53
1123,13664,1,18
1124,11818,14,20
1125,17724,10,49
1126,7540,13,12
1127,34616,4,1
1128,12134,9,14
1129,34617,5,1
1130,17182,18,17
1131,11782,1,4
1132,34618,4,1
1133,7760,1,5
1134,34619,6,4
1135,21796,4,5
1136,34620,4,1
1137,5622,19,27
1138,33041,1,6
1139,16417,10,11
1140,15433,20,18
1141,28352,2,4
1142,10946,20,18
1143,34621,5,5
1144,26,39,48
1145,34622,11,1
1146,28229,5,8
1147,1494,28,38
1148,3108,1,12
1149,34623,1,6
1110,1140,16,20
1150,34624,5,6
1151,34625,4,5
1152,19853,1,11
1153,34164,11,9
1154,20403,4,9
1155,34626,4,1
392,19577,14,10
1156,34627,12,1
1157,19512,14,20
1158,34628,5,4
1159,4744,13,7
204,8744,5,5
1160,22262,1,4
1161,34629,9,5
1162,34630,1,4
1163,18873,8,17
1164,34631,4,1
1165,19978,5,3
1166,16719,1,16
1002,5760,7,11
1167,21020,1,5
236,10362,146,27
1168,22551,3,8
936,34632,11,10
1169,27276,1,14
1170,34633,7,3
1171,5448,11,3
1172,26447,1,4
1173,11852,36,33
1174,22742,18,11
1175,8872,34,29
1176,34634,1,4
1177,34635,11,1
1178,28031,14,6
1179,34636,4,2
1180,34637,1,6
1128,34638,9,13
1181,24441,8,4
1182,4178,5,6
1183,7914,1,21
1184,12525,9,8
1185,30200,4,7
1186,5038,1,5
162,11957,23,13
1187,34639,4,4
1188,4876,26,26
1189,34640,6,1
1190,19602,10,7
1191,34641,4,7
1192,34642,4,1
1193,34643,3,5
1194,34644,1,5
930,22977,17,16
1195,22305,1,4
1196,3759,8,9
1197,5387,1,4
1198,31947,15,12
1199,34645,5,1
664,898,49,42
1200,34646,10,4
1201,15810,5,4
1202,16514,1,4
1203,34647,6,8
1204,1458,26,13
1205,31418,5,2
1206,2944,1,4
1207,24877,1,17
1208,4713,10,9
1209,34648,3,4
1210,2655,9,12
1211,32370,18,18
1212,20161,18,13
1213,34649,3,4
1214,3220,29,29
1215,34650,4,5
1216,34651,3,15
1217,2387,2,4
1218,34652,1,4
1219,3368,47,46
1220,3598,22,21
172,16114,45,29
1221,3502,14,20
1222,34653,9,9
1223,34654,5,1
1224,26032,15,13
1225,26677,3,4
1226,34655,4,4
225,16979,33,33
1227,2807,7,8
1228,9366,1,7
1229,10730,1,4
1230,6802,1,15
1231,30051,1,7
1232,30352,14,7
1233,34265,9,10
1234,34656,4,1
1235,5634,4,9
1236,2386,2,5
1237,34657,1,10
1238,3902,9,14
1239,7402,5,10
890,185,23,26
1240,34658,5,2
1241,34659,5,1
1242,9128,5,11
1243,34660,2,4
1244,1585,1,5
1245,26435,24,24
1246,20689,21,20
1247,34661,4,5
1248,2513,1,7
1249,32839,1,4
1250,16241,5,4
1251,13763,1,8
1252,34662,4,1
1253,22627,18,17
823,31758,15,13
1254,31306,25,7
1255,17103,11,11
1256,13045,17,24
1257,2544,12,12
1258,34663,5,3
1259,16043,2,5
1260,1921,8,13
1261,9803,5,33
1262,11760,16,12
1263,13997,3,34
1264,34664,4,1
1265,25160,2,9
1266,34665,17,11
739,34666,22,1
1267,34667,2,14
1268,4815,15,13
1269,34668,2,6
1270,34669,8,8
1271,34670,24,16
1272,12188,13,7
1159,845,13,13
1273,11389,28,7
1274,34671,1,7
974,34672,5,1
1275,24976,7,14
1276,34673,7,1
1277,3176,4,10
1278,11957,20,13
1279,29071,4,4
1280,25361,3,6
1281,34674,2,16
1282,764,8,11
1283,34675,5,4
1284,8221,2,8
1285,26424,9,5
1286,10361,24,23
1287,26737,1,4
1288,12029,1,5
1289,3576,1,66
1290,10055,9,10
1291,12487,8,11
1292,34676,16,10
1293,11432,17,23
1294,34677,4,1
1295,2787,21,25
1296,23371,4,6
1019,2425,34,25
1297,34678,7,1
1298,28848,12,9
1299,34679,11,1
1300,10024,33,17
1301,13169,3,9
1302,1118,5,11
1303,1460,1,21
953,34680,36,34
1304,23456,13,20
1305,32034,4,35
1306,34681,4,1
1307,34682,1,4
1308,4253,13,17
950,24909,4,3
1309,34671,1,7
1310,4882,7,10
1311,34683,1,4
1312,10470,8,17
1313,1016,6,2
1314,34684,5,1
1173,25485,36,27
1315,8248,44,19
909,7783,40,23
1316,34685,6,2
1317,598,45,44
1318,9124,9,8
1319,1640,37,39
1320,34686,4,1
1321,10429,6,6
1322,28669,16,14
1323,25546,1,4
1037,3684,15,20
1034,34687,4,21
1324,34688,5,4
1325,1041,10,13
1326,7803,13,12
1327,34689,5,1
1328,21740,15,9
1329,6266,7,12
1330,19258,6,7
655,4741,50,41
1331,4253,1,17
1332,15084,18,23
1333,10922,10,5
1334,34690,4,1
1335,34374,20,20
1336,26097,4,7
1337,34691,7,8
1338,8225,12,18
1339,19619,5,4
1340,5015,21,15
1341,6961,17,33
1342,19757,6,3
1343,34692,1,6
1344,12554,1,8
1345,34693,5,1
1346,5272,15,14
1347,34694,6,1
1348,3407,4,13
1349,5202,14,14
1350,34695,12,1
1351,13538,3,5
1352,26817,5,5
1353,4698,6,6
1354,20208,1,10
1355,34696,4,1
1356,2106,13,16
1357,34697,4,1
1358,2350,40,39
1359,4802,20,17
1360,34698,10,12
1361,4465,10,9
220,3408,17,16
1362,3576,13,66
1363,4905,2,5
1364,25471,48,28
1365,34699,4,1
1366,34700,7,12
1367,25204,1,4
1368,5665,14,16
1369,34701,6,7
1370,34702,7,1
1371,30336,5,8
401,34703,6,1
1372,34704,4,1
1373,34705,6,1
1374,17424,55,11
748,34706,4,1
1375,7332,31,32
1376,34239,25,20
1377,16359,4,5
1378,347,2,7
1379,697,12,15
1380,34707,8,1
1381,34708,8,1
1382,4577,2,16
330,21626,13,13
1383,4873,1,6
1384,4523,12,11
1385,9332,5,6
1386,4581,9,7
1387,20493,3,5
1388,9831,5,4
1389,18532,1,8
1390,34709,6,7
1391,22551,1,8
1392,16340,2,9
1393,34710,5,1
57,13155,24,23
1394,24607,1,4
1395,34711,5,1
1396,28682,6,6
1397,34712,8,1
1398,22548,1,5
1399,34713,15,3
1400,1115,13,11
1401,34714,4,1
1144,25471,39,28
1402,664,42,49
1403,34715,2,4
1404,34716,4,1
1405,13320,2,6
1379,10542,12,19
1406,34717,1,4
1407,34718,4,5
1408,34719,4,1
1409,12872,6,6
1410,34720,6,7
1411,34721,9,1
1412,34722,4,1
1413,34723,5,1
1414,2173,6,40
1415,2982,20,18
1416,34724,1,7
1417,34725,11,8
1418,18679,5,2
1419,6041,2,17
1420,22415,13,9
1421,34726,14,1
1422,34727,5,5
1423,7681,2,9
1424,34728,5,4
1425,21761,1,12
1426,32217,36,24
1427,7621,37,16
1428,24988,1,9
1429,21517,2,6
1430,34729,5,1
1431,16644,28,19
1432,22008,23,12
1433,1847,10,7
1434,34730,1,21
513,34731,6,5
1435,8499,18,19
1436,34732,4,1
1437,12901,5,5
1438,5864,18,16
1439,24104,18,20
1440,24570,5,5
1441,31754,1,5
